"geography_description","geography_level","week_ending","respiratory_season","covid_19_dose_count","influenza_dose_count"
"New York City","REGION","2024-08-20T00:00:00.000","2024-2025","0","0"
"North Country","REGION","2024-08-20T00:00:00.000","2024-2025","0","223"
"Southern Tier","REGION","2024-08-20T00:00:00.000","2024-2025","0","560"
"Western New York","REGION","2024-08-20T00:00:00.000","2024-2025","0","2107"
"ROS","REST OF STATE","2024-08-20T00:00:00.000","2024-2025","0","11027"
"Albany","COUNTY","2024-08-27T00:00:00.000","2024-2025","44","500"
"Allegany","COUNTY","2024-08-27T00:00:00.000","2024-2025","1","34"
"Bronx","COUNTY","2024-08-27T00:00:00.000","2024-2025","0","0"
"Broome","COUNTY","2024-08-27T00:00:00.000","2024-2025","39","304"
"Cattaraugus","COUNTY","2024-08-27T00:00:00.000","2024-2025","5","105"
"Cayuga","COUNTY","2024-08-27T00:00:00.000","2024-2025","10","114"
"Chautauqua","COUNTY","2024-08-27T00:00:00.000","2024-2025","49","278"
"Chemung","COUNTY","2024-08-27T00:00:00.000","2024-2025","7","144"
"Chenango","COUNTY","2024-08-27T00:00:00.000","2024-2025","1","37"
"Clinton","COUNTY","2024-08-27T00:00:00.000","2024-2025","4","191"
"Columbia","COUNTY","2024-08-27T00:00:00.000","2024-2025","4","63"
"Cortland","COUNTY","2024-08-27T00:00:00.000","2024-2025","7","79"
"Delaware","COUNTY","2024-08-27T00:00:00.000","2024-2025","12","36"
"Dutchess","COUNTY","2024-08-27T00:00:00.000","2024-2025","43","417"
"Erie","COUNTY","2024-08-27T00:00:00.000","2024-2025","208","2717"
"Essex","COUNTY","2024-08-27T00:00:00.000","2024-2025","2","110"
"Franklin","COUNTY","2024-08-27T00:00:00.000","2024-2025","0","108"
"Fulton","COUNTY","2024-08-27T00:00:00.000","2024-2025","1","79"
"Genesee","COUNTY","2024-08-27T00:00:00.000","2024-2025","7","102"
"Greene","COUNTY","2024-08-27T00:00:00.000","2024-2025","2","30"
"Hamilton","COUNTY","2024-08-27T00:00:00.000","2024-2025","0","6"
"Herkimer","COUNTY","2024-08-27T00:00:00.000","2024-2025","4","71"
"Jefferson","COUNTY","2024-08-27T00:00:00.000","2024-2025","5","197"
"Kings","COUNTY","2024-08-27T00:00:00.000","2024-2025","0","0"
"Lewis","COUNTY","2024-08-27T00:00:00.000","2024-2025","0","64"
"Livingston","COUNTY","2024-08-27T00:00:00.000","2024-2025","15","79"
"Madison","COUNTY","2024-08-27T00:00:00.000","2024-2025","8","140"
"Monroe","COUNTY","2024-08-27T00:00:00.000","2024-2025","391","1889"
"Montgomery","COUNTY","2024-08-27T00:00:00.000","2024-2025","5","61"
"Nassau","COUNTY","2024-08-27T00:00:00.000","2024-2025","304","3313"
"New York","COUNTY","2024-08-27T00:00:00.000","2024-2025","0","0"
"Niagara","COUNTY","2024-08-27T00:00:00.000","2024-2025","25","365"
"Oneida","COUNTY","2024-08-27T00:00:00.000","2024-2025","25","346"
"Onondaga","COUNTY","2024-08-27T00:00:00.000","2024-2025","149","1186"
"Ontario","COUNTY","2024-08-27T00:00:00.000","2024-2025","50","381"
"Orange","COUNTY","2024-08-27T00:00:00.000","2024-2025","22","391"
"Orleans","COUNTY","2024-08-27T00:00:00.000","2024-2025","8","40"
"Oswego","COUNTY","2024-08-27T00:00:00.000","2024-2025","7","185"
"Otsego","COUNTY","2024-08-27T00:00:00.000","2024-2025","7","89"
"Putnam","COUNTY","2024-08-27T00:00:00.000","2024-2025","15","128"
"Queens","COUNTY","2024-08-27T00:00:00.000","2024-2025","0","0"
"Rensselaer","COUNTY","2024-08-27T00:00:00.000","2024-2025","9","281"
"Richmond","COUNTY","2024-08-27T00:00:00.000","2024-2025","0","0"
"Rockland","COUNTY","2024-08-27T00:00:00.000","2024-2025","48","363"
"Saratoga","COUNTY","2024-08-27T00:00:00.000","2024-2025","35","487"
"Schenectady","COUNTY","2024-08-27T00:00:00.000","2024-2025","47","262"
"Schoharie","COUNTY","2024-08-27T00:00:00.000","2024-2025","7","87"
"Schuyler","COUNTY","2024-08-27T00:00:00.000","2024-2025","9","29"
"Seneca","COUNTY","2024-08-27T00:00:00.000","2024-2025","3","47"
"St. Lawrence","COUNTY","2024-08-27T00:00:00.000","2024-2025","1","171"
"Steuben","COUNTY","2024-08-27T00:00:00.000","2024-2025","12","134"
"Suffolk","COUNTY","2024-08-27T00:00:00.000","2024-2025","413","2916"
"Sullivan","COUNTY","2024-08-27T00:00:00.000","2024-2025","1","28"
"Tioga","COUNTY","2024-08-27T00:00:00.000","2024-2025","28","78"
"Tompkins","COUNTY","2024-08-27T00:00:00.000","2024-2025","47","231"
"Ulster","COUNTY","2024-08-27T00:00:00.000","2024-2025","17","188"
"Warren","COUNTY","2024-08-27T00:00:00.000","2024-2025","7","129"
"Washington","COUNTY","2024-08-27T00:00:00.000","2024-2025","8","87"
"Wayne","COUNTY","2024-08-27T00:00:00.000","2024-2025","26","161"
"Westchester","COUNTY","2024-08-27T00:00:00.000","2024-2025","165","1869"
"Wyoming","COUNTY","2024-08-27T00:00:00.000","2024-2025","6","92"
"Yates","COUNTY","2024-08-27T00:00:00.000","2024-2025","0","36"
"Capital Region","REGION","2024-08-27T00:00:00.000","2024-2025","156","1839"
"Central New York","REGION","2024-08-27T00:00:00.000","2024-2025","181","1704"
"Finger Lakes","REGION","2024-08-27T00:00:00.000","2024-2025","506","2827"
"Long Island","REGION","2024-08-27T00:00:00.000","2024-2025","717","6229"
"Mid-Hudson","REGION","2024-08-27T00:00:00.000","2024-2025","311","3384"
"Mohawk Valley","REGION","2024-08-27T00:00:00.000","2024-2025","49","733"
"New York City","REGION","2024-08-27T00:00:00.000","2024-2025","0","0"
"North Country","REGION","2024-08-27T00:00:00.000","2024-2025","12","847"
"Southern Tier","REGION","2024-08-27T00:00:00.000","2024-2025","155","993"
"Western New York","REGION","2024-08-27T00:00:00.000","2024-2025","288","3499"
"ROS","REST OF STATE","2024-08-27T00:00:00.000","2024-2025","2375","22055"
"Albany","COUNTY","2024-09-03T00:00:00.000","2024-2025","2007","1905"
"Allegany","COUNTY","2024-09-03T00:00:00.000","2024-2025","36","54"
"Bronx","COUNTY","2024-09-03T00:00:00.000","2024-2025","0","0"
"Broome","COUNTY","2024-09-03T00:00:00.000","2024-2025","1128","929"
"Cattaraugus","COUNTY","2024-09-03T00:00:00.000","2024-2025","156","169"
